"id","order","start.url","titulo","barra","club","pais","cancion"
"1426","1648754231-5945","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/el-decano-de-colombia/","""El decano de Colombia""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Que ya no se engañe el cali lo dijo un historiador, el decano de Colombia es el rojo por tradición. En un pueblo de arrieros comenzó algo sin fin, es la historia mas hermosa independiente Medellin. Y pasa el tiempo, y esto mas crece, el sentimiento de 1913, sos mi orgullo, lo que mas quiero sos lo mas grande que existe en el mundo entero."
"1427","1648751858-4794","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/vamos-oro-y-cielo-a-ganar/","""Vamos oro y cielo a ganar""","Los del Cerro"," Everton de Viña del Mar","Chile","Vamos vamos oro y cielo vamo´ a ganar que esta hinchada la del cerro te va a alentar yo te sigo a todas partes a donde vas cada vez te quiero más"
"1428","1648751828-4784","https://barrabrava.net/monarcas-morelia/locura-81/letra/vamos-suden-la-camiseta/","""Vamos suden la camiseta""","Locura 81"," Monarcas Morelia","México","Te vengo a alentar,cuando te vas, de visitante de local, estamos re locos de corazon canarios... quien soy como soy, yo soy canario rojiamarillo es mi color, todos nos conocen la locura en el tablon canarios... Vamos suden la camiseta me enamoro, si te veo jugar sentimiento que no es para cobardes la locura siempre es carnaval"
"1429","1648753878-5773","https://barrabrava.net/olimpia/la-barra-79/letra/que-voy-hacer-que-voy-hacer-si-te-llevo-en-mi-piel/","""Que voy hacer que voy hacer? si te llevo en mi piel""","La Barra 79"," Olimpia","Paraguay","Los Domingos en la cancha, de la cabeza con los bombos y los trapos la barra te alienta yo te quiero franjeado, vos sos mi vida y estar a tu lado es una alegria que voy hacer que voy hacer? si te llevo en mi piel... que voy hacer que voy hacer si esta locura no lo van a entender..."
"1430","1648752512-5118","https://barrabrava.net/mineros-de-guayana/la-pandilla-del-sur/letra/mineros-de-mi-vida/","""Mineros de mi Vida""","La Pandilla del Sur"," Mineros de Guayana","Venezuela","Mineeeeros Mineros de Mi Vida Tu eres la alegría De mi Corazoooon Saaaabes Todo lo que siento Te llevo aquí adentro De mi Corazoooon"
"1431","1648753001-5351","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/vamos-vamos-azulgrana-vamos-a-ganar/","""Vamos vamos Azulgrana vamos a ganar""","La Gloriosa Butteler"," San Lorenzo","Argentina","Voy a dejarlo todo para ver al Ciclon yo pienso que esta tarde/noche vamos a festejar que nos fuimos a la B que volvimos a la A vamos vamos Azulgrana vamos a ganar vamos vamos Azulgrana vamos Azulgrana vamos vamos Azulgrana vamos a ganar"
"1432","1648752721-5216","https://barrabrava.net/cerro/los-villeros/letra/no-me-arrepiento-de-este-amor/","""No me arrepiento de este amor""","Los Villeros"," Cerro","Uruguay","No me arrepiento de este amor aunque me cueste el corazon llevo la camiseta en la piel y me voy a morir a por el albiceleste vamo a correr a nacional y le vamos a demostrar que cerro se la banca de verdad camina sin custodia policial peñarol no tiene huevo no se la banca sin fierros sos igual que rampla juniors sos cagon aunque no demos la vuelta esta banda es una fiesta la locura de la droga y el alcohol x2"
"1433","1648749287-3682","https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letra/soy-del-deportivo-si-senor/","""Soy Del Deportivo Si Señor""","Frente Radical Verdiblanco"," Deportivo Cali","Colombia","Soy del deportivo si señor.... Que loco estoy... Rexona puta a vos te cuida el smad... Sos un cagon... Vos por cali nunca caminas... Vos no aguantas... Yo a vos te busco y no te puedo encontrar... A donde estas???? Aparece....!!!!!!!"
"1434","1648751336-4541","https://barrabrava.net/boca-juniors/la-12/letra/todos-de-la-cabeza-nadie-la-puede-parar/","""Todos de la cabeza nadie la puede parar""","La 12"," Boca Juniors","Argentina","Y vamos los Xenizes que la 12 te va alentar...  todos de la cabeza nadie la puede parar  vamo a salir campeones y una gayina va morir..  Dale Bo, siempre te voy a seguir..."
"1435","1648753049-5374","https://barrabrava.net/rosario-central/los-guerreros/letra/la-academia-hoy-te-vinimo-a-ver/","""La Academia, hoy te vinimo a ver""","Los Guerreros"," Rosario Central","Argentina","La Academia, hoy te vinimo a ver ponga huevo, vos no podés perder te llevamos dentro del corazón pecho frío abandonaste sos cagón."
"1436","1648751940-4834","https://barrabrava.net/millonarios/blue-rain/letra/blue-rain-te-esta-alentando/","""Blue Rain te esta alentando""","Blue Rain"," Millonarios","Colombia","cuando sales, a la cancha millonarios la blue rain te esta alentando millonarios de mi amor que esta banda, viene siempre a alentarte que te sigue a todas partes vamos a salir campeón!"
"1437","1648748580-3330","https://barrabrava.net/tigre/la-barra-del-matador/letra/siempre-yo-te-vengo-a-ver/","""Siempre yo te vengo a ver""","La Barra Del Matador"," Tigre","Argentina","Siempre yo te vengo a ver Nunca voy a faltar Te sigo a todas partes Me dice mi corazón Que aunque no seas campeón Nunca voy a dejarte Y que pase lo que pase Hasta la muerte siempre Te voy a seguir De pendejo soy de Tigre No me importa nada Vos me haces feliz Y con la Azul y Roja Cubriendo mi cuerpo me voy a morir Y con la Azul y Roja Cubriendo mi cuerpo me voy a morir"
"1438","1648753238-5467","https://barrabrava.net/curico-unido/los-marginales/letra/que-alegria-que-alegria/","""Que alegría, que alegría""","Los Marginales"," Curicó Unido","Chile","Que alegría, Que alegría, Olé olé olá, Vamos Curi todavía, Que estás para ganar... Con esta hinchada looooca, Que tiene descontrol, Somos los Marginales, Saltando en el tablón, El dia en que me muera, Yo quiero un cajón, Pintado Rojo & Blanco, Como mi corazón...!!"
"1439","1648754117-5889","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/nunca-te-voy-a-dejar/","""Nunca te voy a dejar""","La Gloriosa Butteler"," San Lorenzo","Argentina","Nunca te voy a dejar... Vamos san lorenzo te voy a alentar la vida entera, y desde el cielo te voy a seguir cuando me muera, nunca me voy a separar de vos, porque te quiero, y te juro que no voy a parar hasta volver a boedo, hay que dejar la vida y el corazon ahy que poner huevo para ser campeon dale matador que hoy tenemos que ganar.. san lorenzo sos mi unica razon vos sos la locura de mi corazon, san lorenzo es sentimiento de verdad que nunca nadie lo copmrendera, porque te sigo en las buenas y en las malas porque llevo la pasion azulgrana siempre voy a estar.."
"1440","1648752677-5194","https://barrabrava.net/racing-club/la-guardia-imperial/letra/llega-el-domingo-yo-te-vengo-a-ver/","""Llega el domingo yo te vengo a ver""","La Guardia Imperial"," Racing Club","Argentina","Llega el domingo yo te vengo a ver yo soy desde pendejo hincha de la Acadé Cada partido me vuelvo a enamorar llega el domingo todo vuelve a empezar No se por que, te quiero asi racing sos mi alegría, racing me hace sentir todo ese amor, esa ilusion la de toda la gente que te quiere campeon"
"1441","1648751853-4791","https://barrabrava.net/remo/camisa-33/letra/nao-te-abandono-jamais/","""Não te abandono jamais""","Camisa 33"," Remo","Brasil","Leão com você Eu preciso estar Em mais uma festa Onde faço promessas Com a fé de vencer Tem que acreditar Por toda essa gente Que nunca abandonou O acesso eu quero ver E mais um campeonato Cumprirei o dever De estar ao seu lado Vai pra cima! Meu Leão Com a camisa azulina Remo te dei a vida E não te abandono jamais"
"1442","1648749394-3735","https://barrabrava.net/boca-juniors/la-12/letra/por-que-sera/","""Por que será""","La 12"," Boca Juniors","Argentina","Por que será que te sigo a todas partes, campeón Por que será que no se vivir  Carnaval toda la vida y el xeneize la pasión  Si no te veo, se me parte el corazón"
"1443","1648752113-4920","https://barrabrava.net/estudiantes-de-la-plata/los-leales/letra/hay-una-banda-que-fue-campeon-mundial/","""Hay una banda que fue campeón mundial""","Los Leales"," Estudiantes de La Plata","Argentina","Hay una banda que fue campeón mundial, y no le cabe ninguna, hay una banda que sabe como es sentir toda la locura, la locura de ver al LEÓN en todas las canchas, siempre para adelante Por eso hoy mas que nunca señor vengo a alentar a ESTUDIANTES"
"1444","1648753107-5403","https://barrabrava.net/nublense/los-rediablos/letra/senores-yo-soy-de-nublense/","""Señores yo soy de Ñublense""","Los REDiablos"," Ñublense","Chile","Señores yo soy de Ñublense y siempre te voy a seguir Porque estás en toda mi alma contigo me voy a morir Por eso te pido esta tarde que juegues con el corazón Esta hinchada no vive de copas solo de pasión ohoh (Bis)"
"1445","1648752998-5350","https://barrabrava.net/nueva-chicago/los-pibes-de-chicago/letra/de-mataderos-vengo/","""De Mataderos vengo""","Los Pibes de Chicago"," Nueva Chicago","Argentina","de mataderos vengo hay que pedo tengo a la cancha voy a ver al campeon la la la la borracho"
"1446","1648751605-4673","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/siempre-a-tu-lado/","""Siempre a tu lado!""","La Banda de la Quema"," Huracán","Argentina","Vamos vamos vamos los Quemeros Para salir primero Hay que poner más huevo Esta banda se banco el descenso Los malos resultados Y acá estamos de nuevo Siempre a tu lado! Van a estar los pibes descontrolados Yo voy contigo! Fumando marihuana y tomando vino"
"1447","1648752320-5023","https://barrabrava.net/nublense/los-rediablos/letra/yo-soy-de-nublense-y-tenemos-aguante/","""Yo soy de Ñublense y tenemos aguante""","Los REDiablos"," Ñublense","Chile","Yo soy de Ñublense y tenemos aguante Y de pendejo que te vengo a alentar Estando en primera, segunda o tercera Esta hinchada nunca te va a dejar Vamos diablos rojos vamos a ganar Vamos diablos rojos vamos a campeonar Pero no me importa si estás bien o mal porque ni cagando te voy a dejar"
"1448","1648754049-5856","https://barrabrava.net/internacional/guarda-popular/letra/colorado-ate-morrer/","""Colorado Até Morrer""","Guarda Popular"," Internacional","Brasil","Sou... Sou colorado até morrer Não me importa o que acontecer Pra cima deles meu inter Vamos lutar vamos vencer"
"1449","1648754428-6043","https://barrabrava.net/millonarios/comandos-azules/letra/comando-soy-y-millos-la-alegria-de-mi-corazon/","""Comando soy y millos la alegria de mi corazon""","Comandos Azules"," Millonarios","Colombia","comando soy y millos la alegria de mi corazon es mi vida, es una pasion mas alla de toda explicacion a mi no me interesa en ue cancha jugues local o visitante yo te vengo a ver ni la muerte nos va a separar por que desde el cielo te voy a alentar"
"1450","1648753663-5668","https://barrabrava.net/alvarado/la-brava/letra/alva-querido-daria-la-vida-por-salir-campeon/","""Alva querido daria la vida por salir campeon""","La Brava"," Alvarado","Argentina","A todas partes yo voy con vos Azul y blanco es mi corazon Alva querido daria la vida por salir campeon De visitante o de local La Brava siempre te va alentar de caravana y haciendo fiesta en la popular. Yo te vengo a ver descontrolado te vengo a ver Yo me enamore de Alvarado me enamore...â™ª"
"1451","1648753226-5461","https://barrabrava.net/universidad-catolica/los-cruzados/letra/matar-o-morir/","""Matar o morir""","Los Cruzados"," Universidad Católica","Chile","Los crxzados hay que ganar que esta hinchada te quiere festejar los crxzados hay que ganar que esta hinchada te quiere festejar cada fin de semana me vuelvo a enamorar Cato de mi vida cada vez te quiero más esa camiseta es todo para mi por esos colores MATAR O MORIR"
"1452","1648749448-3762","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/dale-dale-oooo/","""Dale Dale Oooo""","Los de Siempre"," Oriente Petrolero","Bolívia","Dale Dale Ooo Dale Dale Ooo Dale Dale Ooo Dale Dale Ooo Señores Yo soy de Oriente Desde la cuna Que vamo' A salir campeones No tengo duda Con un poco más De huevo La vuelta vamo' a dar Y loco de la cabeza Vamo' a quedar"
"1453","1648751301-4531","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/si-sos-de-la-paternal/","""Si sos de la paternal""","La Gloriosa Butteler"," San Lorenzo","Argentina","Si sos de la paternal Vos sos un homosexual Si usted lo mira muy bien son putas de cabaret Van buscando porongas Porque a la noche se hacen cojer Van buscando porongas Porque a la noche se hacen cojer"
"1454","1648751518-4630","https://barrabrava.net/gremio/geral-do-gremio/letra/sentimento-que-faz-amar/","""Sentimento que faz amar""","Geral do Grêmio"," Grêmio","Brasil","Oleoleole oleoleoleola Oleoleole oleoleoleola Ôooo, sou de grêmio, Un sentimento que faz amar. Oleoleole oleoleoleola Oleoleole oleoleoleola Cada dia te quero mais!"
"1455","1648750050-4013","https://barrabrava.net/los-andes/la-banda-descontrolada/letra/quisiera-ver-a-banfield-jugando-en-la-b/","""Quisiera ver a Banfield jugando en la B""","La Banda Descontrolada"," Los Andes","Argentina","Yo quisiera ver a banfield jugando en la B y que tenga una banda como la de Los Andes que lo sigue a todos lados no le importa si perdes, que va copando todas las canchas nadie la puede correr, tomando cocaína, fumando porro, todos de la cabeza vamos a alentar todos los del taladro son unos putos PUTOS, cuando vengan a lomas van a cobrar"
"1456","1648750310-4142","https://barrabrava.net/santiago-wanderers/los-panzers/letra/de-pendejo-seguimo-al-decano/","""De pendejo seguimo al decano""","Los Panzers"," Santiago Wanderers","Chile","De pendejo seguimos , al decano siempre a todos lados aguantamos la quiebra, chocopande y desenso obligado Aun recuerdo ese dia , cuando todo el estadio aplaudia . Entonando el himno , un domingo wanderers descendia Jugadores esta hinchada es diferente oh el cariño de tu gente esta presente oh La que deja la vida por los colores Tu en la cancha , yo en los tablones , pongamos huevos Para ser campeones."
"1457","1648750908-4378","https://barrabrava.net/quilmes/indios-kilmes/letra/vengo-del-barrio-cervecero/","""Vengo del barrio cervecero""","Indios Kilmes"," Quilmes","Argentina","Vengo del barrio cervecero, Barrio de droga y carnaval, Yo te sigo de pendejo, Nunca te voy a abandonar, Por que Quilmes es asi, Se lleva en el corazon, Esta hinchada se merece ser campeon..."
"1458","1648749163-3620","https://barrabrava.net/zamora/la-burra-brava/letra/esta-es-la-banda-del-blankinegro/","""Esta es la banda del blankinegro""","La Burra Brava"," Zamora","Venezuela","esta es la banda del blankinegro, estamos locos de la cabeza, se mueve para alla se mueve para aca, esta es la banda mas loca que hay"
"1459","1648749571-3823","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/yo-te-aliento-con-el-corazon/","""Yo te aliento con el corazón""","La Gloriosa Butteler"," San Lorenzo","Argentina","Soy de san lorenzo esa es mi alegría, Solo una razón yo tengo en esta vida, Donde juegues voy a estar con vos Nadie se imagina este sentimiento, Que llevo en la sangre que lo llevo adentro Yo te aliento con el corazón Matador, matador, cuervo te queremos ver campeón Huracán , sos cagon, globo la puta que te pario....."
"1460","1648749426-3751","https://barrabrava.net/flamengo/nacao-12/letra/todo-domingo-eu-venho-te-apoiar/","""Todo domingo eu venho te apoiar""","Nação 12"," Flamengo","Brasil","Todo domingo eu venho te apoiar Não importa onde vá Visto o manto e vou cantar É o Clube de Regatas campeão É minha maior paixão Nunca vou te abandonar Eu sou rubro-negro, eu sou Flamengo até morrer Pra sempre hei de ser E vai pra sima dele Mengo"
"1461","1648749822-3945","https://barrabrava.net/union-de-santa-fe/la-barra-de-la-bomba/letra/tate-vos-sos-mi-vida/","""Tate vos sos mi vida""","La Barra de la Bomba"," Unión de Santa Fe","Argentina","Tate vos sos mi vida mi locura, sos mi alegria te llevamos en el corazon nada puede, con el sentimiento que siento por vos donde jueges, yo voy a estar hasta la muerte hoy tenes, que ganar que la bomba es un carnaval tatengue, siempre voy esta hinchada quiere ser campeón"
